kof97	拳王97	KOF97	KOF 97
feversos	弹铳 II	Fever SOS 	피버 SOS	
dharmak	达摩道场 II	Dharma Doujou II	망치맨 달마도장 II	
dietgo	乐乐小子 	Diet Go Go 	다이어트 Go Go 	
digdug2	挖金子 	Dig Dug 	디그 더그 	
shippumd	疾风魔法大作战 I	Shippu Mahou Daisakusen (Japan)	질풍 마법대작전 (일본판)	
kingdmgp	疾风魔法大作战 II	Kingdom Grandprix	킹덤 그랑프리 (세계판)	
diverboy	潜水宝宝	Diver Boy	다이버 보이	
dland	梦想大陆	Dream Land	드림랜드	
docastle	嘟先生的城堡 I 	Mr. Do's Castle I 	미스터 도의 성 I	
dogfight	空中缠斗 	Dog Fight 	도그 파이트 	
dogosoke	怒号层圈 II	Dogou Souken II 	노호층권 II	
dondokod	木匠兄弟 I	Don Doko Don I	돈 도코 돈 I	
dondokodu	木匠兄弟 II	Don Doko Don II	돈 도코 돈 II	
donpachi	首领蜂 I	DonPachi I	수령봉 I	
donpachikr	首领蜂 II	DonPachi II	수령봉 (首領蜂)II 	
dowild	嘟先生的暴走	Mr. Do's Wild Ride	미스터 도 와일드 라이드	
dreamwld	梦想世界	Dream World	드림월드	
drgnbowl	七龙珠	Dragon Bowl	드래곤 보울	
drgnbstr	屠龙记	Dragon Buster	드래곤 버스터	
drgnunit	魔城龙魂	Dragon Unit / Castle of Dragon	드래곤 유닛 / 캐슬 오브 드래곤	
drgw2	中国龙 II	Dragon World II	중국룡 II	
drmicro	米克罗博士	Dr. Micro	마이크로 박사	
drtoppel	托比博士探险队 	Dr. Toppel's Adventure 	토플박사의 모험 	
dspirit	龙魂 	Dragon Spirit 	드래곤 스피릿 	
dyger	特攻队I	Dyger I	다이거 I	
dygera	特攻队 II	Dyger II	다이거 II	
dynablst	炸弹人 I 	Bomber Man I	봄버맨 I	
bombrman	炸弹人 II	Bomber Man II	봄버맨 II	
dynagear	恐龙时代	Dyna Gear	다이나 기어	
dynwar	吞食天地	Dynasty Wars	삼국지	
earthjkr	地球战役	Earth Joker	어스 조커	
edf	地球防卫军	Earth Defense Force	지구방위군	
eightfrc	8 号火力	Eight Forces	에이트 포스	
esckids	脱线行大运 (4 Players)	Escape Kids (4 Players)	이스케이프 키즈 (4인용)	
esckidsj	脱线行大运 (2 Players)	Escape Kids (2 Players)	이스케이프 키즈 (2인용)	
esprade	长空超少年	ESP Ra.De.	에스프레이드 	
eto	古今东西干支物语 	Kokontouzai Eto Monogatari 	동서고금 십이지 이야기 	
evilston	魔门地狱石	Evil Stone	에빌 스톤	
excelsr	破坏王	Excelsior	엑셀시오르	
exedexes	超浮游要塞	Exed Exes	엑시드 엑시즈	
skyfox	天狐 II	Sky Fox	스카이 폭스	
explbrkr	爆裂战机 	Explosive Breaker	익스플로시브 브레이커	
extdwnhl	极限滑降 	Extreme Downhill 	익스트림 다운힐 	
exzisus	行星任务 	Exzisus 	익스지서스 	
fantland	魔幻大地 I	Fantasy Land I	판타지 랜드 I	
fantlanda	魔幻大地 II	Fantasy Land II	판타지 랜드 II	
fantzonep	神奇地带特别版	Fantasy Zone p	판타지 존 p	
farmer	农夫叛乱物语 	Farmers Rebellion	파머즈 레벨리온	
ikki	农夫叛乱物语 II 	Ikki  	농부의 반란 	
fastfred	飞天快手佛莱迪	Fast Freddie	패스트 프레디	
fhawk	战斗猎鹰 	Fighting Hawk 	파이팅 호크 	
finalizr	超级变形战机	Super Transformation	슈퍼 트랜스포메이션	
finalttr	俄罗斯方块终结者	Final Tetris	파이널 테트리스	
finehour	决战时刻	Finest Hour 	파이니스트 아워 	
firehawk	火鹰 	Fire Hawk	파이어 호크	
fixeight	地狱英雄传说	FixEight 	지옥의 영웅전설	
flashgal	霹雳娇娃	Flashgal 	플래시걸 	
flickys1	小鸟妃奇 I	Flicky I	플릭키 I	
flicky	小鸟妃奇 II	Flicky II	플릭키 II	
flipull	小鸡益智方块	Flipull	플리풀 	
plotting	小鸡益智方块 I 	Plotting I	플로팅 I	
plottingu	小鸡益智方块 II 	Plotting II	플로팅 II	
flyboy	飞天男孩	Fly-Boy	플라이 보이	
flytiger	飞虎队	Flying Tiger	플라잉 타이거	
fncywld	异想世界	Fancy World	팬시 월드	
fnkyfish	疯狂的鱼	Funky Fish	펑키 피쉬	
footchmp	冠军杯足球赛	Football Champ 	풋볼 챔프	
formatz	变形战机 Z	Formation Z	포메이션 Z	
freeze	太空人迷宫	Freeze	프리즈	
frogger	青蛙过河	Frogger	프로거	
fround	拳击决赛 I	The Final Round 	파이널 라운드 	
hpuncher	拳击决赛 II	Hard Puncher 	피투성이가 된 영광	
fshark	飞翔鲛 I	Flying Shark I	플라잉 샤크 I	
fsharkbt	飞翔鲛 II	Flying Shark II	플라잉 샤크 II	
hishouza	飞翔鲛 III	Hishou Zame III	비상 상어 III	
skyshark	飞鲨	Sky Shark 	스카이 샤크	
fstarfrc	最终星际武力	Final Star Force 	파이널 스타포스 	
funkybee	疯狂蜜蜂	Funky Bee	펑키 비	
funybubl	性感谜球回路	Funny Bubble	퍼니 버블	
funybublc	性感谜球回路 II 	Funny Bubble II	퍼니 버블 II	
fx	星际任务	F-X	F-X	
galaxygn	星系炮火	Galaxy Gunners	갤럭시 거너즈	
galhustl	开仑骗子	Gals Hustler	갈스 허슬러	
galmedes	高米达斯星战 	Galmedes 	갈메데스	
ganryu	武藏严流记	Ganryu	무장암류기	
gardia	巡弋飞艇	Gardia 	가르디아 	
